epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0983,1.2019,3.08868,1.2725,0.00333,1,0.16948,0.09393,0.94349,3.17528,1.21079,8e-05,8e-05,8e-05
2,12.5244,1.23487,3.11993,1.36013,0.00333,1,0.51142,0.27613,0.81686,3.14523,1.11655,0.000176436,0.000176436,0.000176436
3,15.396,0.94304,2.31281,1.16902,0.00333,1,0.77717,0.5898,0.8114,2.87543,1.10532,0.000268912,0.000268912,0.000268912
4,18.6425,1.01481,1.81745,1.13389,1,0.54628,0.84642,0.63548,0.856,2.46654,1.16849,0.000357428,0.000357428,0.000357428
5,20.9448,1.01628,1.52854,1.15719,1,0.38726,0.97951,0.75386,0.81768,2.51803,1.10505,0.000441984,0.000441984,0.000441984
6,22.7737,1.09091,1.87792,1.17646,0.00333,1,0.96688,0.73868,0.82214,2.66888,1.05932,0.00052258,0.00052258,0.00052258
7,24.9863,1.10007,1.63097,1.14429,0.00333,1,0.98188,0.71556,0.84782,2.74711,1.13463,0.000599216,0.000599216,0.000599216
8,27.1565,0.94992,1.54652,1.09993,0.05832,1,0.98188,0.73778,0.8375,2.68707,1.17252,0.000671892,0.000671892,0.000671892
9,28.9521,0.98616,1.73622,1.19735,1,0.51358,0.97357,0.72873,0.80278,2.53254,1.17703,0.000740608,0.000740608,0.000740608
10,32.244,0.86655,2.09862,1.0332,1,0.66592,0.98567,0.71368,0.91906,2.40592,1.22671,0.000805364,0.000805364,0.000805364
11,34.7358,0.93145,1.32097,1.07934,1,0.61735,0.995,0.70929,0.98317,2.39914,1.24189,0.00086616,0.00086616,0.00086616
12,36.7848,0.93797,1.19532,1.11501,1,0.71684,0.99,0.71254,0.99138,2.43722,1.24976,0.000922996,0.000922996,0.000922996
13,38.6555,0.97334,1.35016,1.15245,1,0.95731,0.995,0.73371,0.95473,2.32319,1.19428,0.000975872,0.000975872,0.000975872
14,40.6492,0.97512,1.32607,1.19868,1,0.95731,0.995,0.73371,0.95473,2.32319,1.19428,0.00102479,0.00102479,0.00102479
15,42.8086,0.93125,1.21645,1.09027,1,0.89803,0.9705,0.74357,0.89343,2.15073,1.1362,0.00106974,0.00106974,0.00106974
16,45.6946,0.94929,1.31626,1.13152,1,0.91018,0.96457,0.74041,0.88689,2.01358,1.18766,0.00111074,0.00111074,0.00111074
17,48.3858,1.03459,1.22939,1.18365,1,0.92041,0.995,0.77815,0.88759,1.8054,1.19772,0.00114778,0.00114778,0.00114778
18,50.6737,0.91102,1.26006,1.12874,1,0.92041,0.995,0.77815,0.88759,1.8054,1.19772,0.00118085,0.00118085,0.00118085
19,52.8219,0.96461,1.19713,1.12614,0.96539,0.84615,0.98429,0.7137,0.92431,1.68421,1.261,0.00120997,0.00120997,0.00120997
20,54.7911,0.9561,1.24025,1.18513,1,0.91682,0.995,0.75002,0.83489,1.62622,1.16445,0.00123512,0.00123512,0.00123512
21,56.774,0.9241,1.32768,1.08579,1,0.91682,0.995,0.75002,0.83489,1.62622,1.16445,0.001208,0.001208,0.001208
22,59.389,0.86554,1.08447,1.04336,0.97301,0.84615,0.96688,0.72569,0.89283,1.71059,1.21177,0.0011684,0.0011684,0.0011684
23,62.9067,0.84714,1.21982,1.12481,0.98461,1,0.995,0.73881,0.90184,1.36906,1.18737,0.0011288,0.0011288,0.0011288
24,65.0197,0.93135,1.13156,1.192,0.98461,1,0.995,0.73881,0.90184,1.36906,1.18737,0.0010892,0.0010892,0.0010892
25,67.1058,0.85703,1.22249,1.11223,0.80581,0.92308,0.93211,0.67681,0.90109,1.55166,1.21364,0.0010496,0.0010496,0.0010496
26,68.9534,0.87865,1.13283,1.11746,0.80581,0.92308,0.93211,0.67681,0.90109,1.55166,1.21364,0.00101,0.00101,0.00101
27,72.0593,0.88833,1.22501,1.05833,0.83351,0.84615,0.87653,0.59004,0.96085,1.81071,1.25513,0.0009704,0.0009704,0.0009704
28,75.5018,0.96603,1.35244,1.15713,0.91565,0.83584,0.93324,0.66845,0.89803,1.59071,1.23573,0.0009308,0.0009308,0.0009308
29,78.2282,0.90968,1.02802,1.04307,0.91565,0.83584,0.93324,0.66845,0.89803,1.59071,1.23573,0.0008912,0.0008912,0.0008912
30,80.0708,0.93486,1.29173,1.24146,1,0.82945,0.935,0.72901,0.85991,1.34965,1.22852,0.0008516,0.0008516,0.0008516
31,83.1729,0.88021,1.03719,1.08125,1,0.97452,0.995,0.74451,0.87448,1.2348,1.23867,0.000812,0.000812,0.000812
32,84.884,0.93255,1.10026,1.12069,1,0.97452,0.995,0.74451,0.87448,1.2348,1.23867,0.0007724,0.0007724,0.0007724
33,89.1564,0.81081,0.96662,1.04286,0.97948,1,0.995,0.74993,0.89202,1.14931,1.20734,0.0007328,0.0007328,0.0007328
34,91.5504,0.80828,1.06252,1.08338,0.97948,1,0.995,0.74993,0.89202,1.14931,1.20734,0.0006932,0.0006932,0.0006932
35,94.2231,0.82125,0.97542,0.98351,0.99082,1,0.995,0.75069,0.91442,1.10341,1.19957,0.0006536,0.0006536,0.0006536
36,96.2826,0.83713,0.95442,1.0258,1,0.99552,0.995,0.74223,0.93655,1.06939,1.19068,0.000614,0.000614,0.000614
37,98.9543,0.91267,0.99343,1.13965,1,0.99552,0.995,0.74223,0.93655,1.06939,1.19068,0.0005744,0.0005744,0.0005744
38,101.209,0.79457,1.0041,1.04772,1,0.99339,0.995,0.76874,0.94433,1.04817,1.19123,0.0005348,0.0005348,0.0005348
39,105.018,0.74675,1.01582,1.01512,1,0.99395,0.995,0.76778,0.90815,1.03897,1.16993,0.0004952,0.0004952,0.0004952
40,107.217,0.80017,1.01817,1.03127,1,0.99395,0.995,0.76778,0.90815,1.03897,1.16993,0.0004556,0.0004556,0.0004556
41,119.544,0.7998,1.2887,0.99588,1,0.99237,0.995,0.79502,0.88245,1.03856,1.1567,0.000416,0.000416,0.000416
42,124.018,0.67265,1.23688,0.98134,1,0.99237,0.995,0.79502,0.88245,1.03856,1.1567,0.0003764,0.0003764,0.0003764
43,127.151,0.78186,1.28074,0.99009,1,0.99107,0.995,0.76711,0.84853,1.08266,1.14726,0.0003368,0.0003368,0.0003368
44,130.564,0.63333,1.30362,0.92004,1,0.9928,0.995,0.77326,0.85352,1.13045,1.14947,0.0002972,0.0002972,0.0002972
45,133.538,0.74402,1.30189,0.93745,1,0.9928,0.995,0.77326,0.85352,1.13045,1.14947,0.0002576,0.0002576,0.0002576
46,135.52,0.68561,1.21266,0.97752,0.9978,1,0.995,0.7931,0.83553,1.10196,1.12888,0.000218,0.000218,0.000218
47,137.873,0.66961,1.21376,0.99653,0.99708,1,0.995,0.79086,0.81042,1.01879,1.11193,0.0001784,0.0001784,0.0001784
48,139.735,0.64723,1.24463,0.94533,0.99708,1,0.995,0.79086,0.81042,1.01879,1.11193,0.0001388,0.0001388,0.0001388
49,141.564,0.72445,1.19112,0.99717,0.99371,1,0.995,0.78695,0.79799,0.96325,1.09887,9.92e-05,9.92e-05,9.92e-05
50,143.582,0.70183,1.24192,0.99329,0.99371,1,0.995,0.78695,0.79799,0.96325,1.09887,5.96e-05,5.96e-05,5.96e-05
